lbr_σ,rbr_σ,th_α,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
-2.7,6.3,-0.5,4,0.9424,0.0032949124419322583,0.1848,0.005489061121904182
-2.6,6.3,-0.5,4,0.912,0.004006394888175652,0.1228,0.004641554911880286
-2.5,6.3,-0.5,4,0.8746,0.004683478194675406,0.0872,0.0039898912265875115
-3.5,6.4,-0.5,4,0.9994,0.0003463062228721987,0.8242,0.0053832027641544395
-3.4,6.4,-0.5,4,0.999,0.0004469899327725404,0.7738,0.0059166470234415704
-3.3,6.4,-0.5,4,0.999,0.0004469899327725404,0.69,0.006540642170307133
-3.2,6.4,-0.5,4,0.9958,0.0009145884320283065,0.6042,0.006915813184290044
-3.1,6.4,-0.5,4,0.9918,0.0012753634776015805,0.4936,0.007070488526261817
-3.0,6.4,-0.5,4,0.985,0.0017190113437671093,0.4152,0.006968629133480989
-2.9,6.4,-0.5,4,0.9706,0.0023889596061884336,0.3126,0.006555627201115085
-2.8,6.4,-0.5,4,0.9582,0.0028302918577418814,0.226,0.005914795009127535
-2.7,6.4,-0.5,4,0.9274,0.003669584172627738,0.1572,0.00514758506486294
-2.6,6.4,-0.5,4,0.887,0.004477298292497385,0.101,0.00426143168430517
-2.5,6.4,-0.5,4,0.8384,0.00520548633654916,0.0772,0.003774656540666978
-3.5,6.5,-0.5,4,0.999,0.0004469899327725404,0.8116,0.005530016998165557
-3.4,6.5,-0.5,4,0.999,0.0004469899327725404,0.7438,0.006173516987908917
-3.3,6.5,-0.5,4,0.997,0.0007734339015067807,0.6388,0.006793151845792937
-3.2,6.5,-0.5,4,0.9946,0.001036420763975709,0.5582,0.0070230016374766705
-3.1,6.5,-0.5,4,0.99,0.0014071247279470295,0.4634,0.007052098127507869
-3.0,6.5,-0.5,4,0.982,0.0018802127539190886,0.3602,0.006789049417996602
-2.9,6.5,-0.5,4,0.9662,0.0025556822963741033,0.2728,0.006298891331020086
-2.8,6.5,-0.5,4,0.9368,0.0034410974993452316,0.1904,0.005552438023066984
-2.7,6.5,-0.5,4,0.9132,0.003981601687763355,0.1404,0.004912999898229187
-2.6,6.5,-0.5,4,0.863,0.004862735855462437,0.0964,0.004173896021704422
