lbr_σ,rbr_σ,th_σ,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
0.4,0.8,0.0,4,0.6648,0.006675941281946689,0.047,0.002993025225419926
0.6,0.8,0.0,4,0.61,0.006897825744392214,0.0536,0.003185185708871619
0.8,0.8,0.0,4,0.534,0.007054700560619139,0.0472,0.0029990718564249174
1.0,0.8,0.0,4,0.4748,0.007062081279622884,0.0518,0.003134222710657301
0.0,1.0,0.0,4,0.6696,0.006651854478263938,0.0532,0.003173948959892077
0.2,1.0,0.0,4,0.6388,0.006793151845792937,0.0546,0.003213062090903318
0.4,1.0,0.0,4,0.6238,0.006850891328871011,0.051,0.003111237695837462
0.6,1.0,0.0,4,0.5708,0.006999819426242366,0.0454,0.002944107334999864
0.8,1.0,0.0,4,0.5058,0.007070592054418074,0.0506,0.0030996657884359083
1.0,1.0,0.0,4,0.4676,0.007056206346189147,0.051,0.003111237695837462
0.0,0.0,0.2,4,0.7454,0.006160825269393704,0.0542,0.0032019481569819336
0.2,0.0,0.2,4,0.7412,0.00619390926636805,0.052,0.003139936305086458
0.4,0.0,0.2,4,0.6974,0.006496664374892703,0.0522,0.003145636978419474
0.6,0.0,0.2,4,0.6326,0.006817877088947849,0.0476,0.0030111207215918795
0.8,0.0,0.2,4,0.5724,0.006996545433283485,0.052,0.003139936305086458
1.0,0.0,0.2,4,0.5016,0.007071031607905596,0.0496,0.0030704996336101396
0.0,0.2,0.2,4,0.742,0.006187665149311169,0.0524,0.003151324800778238
0.2,0.2,0.2,4,0.7256,0.006310382555756822,0.0506,0.0030996657884359083
0.4,0.2,0.2,4,0.6886,0.0065487409476936865,0.05,0.0030822070014844883
0.6,0.2,0.2,4,0.6398,0.006789049417996602,0.0554,0.0032351457463304493
0.8,0.2,0.2,4,0.5726,0.006996130930735931,0.0484,0.0030350433275325743
1.0,0.2,0.2,4,0.5006,0.0070710627206948175,0.046,0.002962566454950842
0.0,0.4,0.2,4,0.7274,0.006297447736980434,0.0448,0.002925507135523686
0.2,0.4,0.2,4,0.7292,0.0062843831837341045,0.055,0.0032241277890307017
0.4,0.4,0.2,4,0.6784,0.00660565575851482,0.054,0.003196372944448129
0.6,0.4,0.2,4,0.6224,0.006855920652983085,0.0498,0.0030763601869742106
0.8,0.4,0.2,4,0.5534,0.007030625007778469,0.0474,0.0030051036587778464
1.0,0.4,0.2,4,0.4824,0.007066685786137658,0.0542,0.0032019481569819336
0.0,0.6,0.2,4,0.697,0.006499092244306124,0.0536,0.003185185708871619
0.2,0.6,0.2,4,0.6958,0.00650634090714589,0.0468,0.0029869636757081596
0.4,0.6,0.2,4,0.6498,0.006746257629234152,0.0512,0.0031170036894427955
0.6,0.6,0.2,4,0.6108,0.006895264461933276,0.049,0.0030528347482299137
0.8,0.6,0.2,4,0.5414,0.007046787069296192,0.0516,0.0031284961243383375
1.0,0.6,0.2,4,0.4716,0.007059652116074842,0.0486,0.0030409879973455995
