lbr_σ,rbr_σ,th_α,nIntervals,Power,TypeI
0.0,1.0,0.5,4,0.1672,0.0834
0.2,1.0,0.5,4,0.17186666666666667,0.0948
0.4,1.0,0.5,4,0.20133333333333334,0.1316
0.6,1.0,0.5,4,0.2396,0.19253333333333333
0.8,1.0,0.5,4,0.28613333333333335,0.257
1.0,1.0,0.5,4,0.3398,0.31993333333333335
0.0,0.0,1.0,4,0.5694666666666667,0.08386666666666667
0.2,0.0,1.0,4,0.5593333333333333,0.11393333333333333
0.4,0.0,1.0,4,0.5390666666666667,0.21926666666666667
0.6,0.0,1.0,4,0.5274,0.33113333333333334
0.8,0.0,1.0,4,0.5449333333333334,0.42993333333333333
1.0,0.0,1.0,4,0.5749333333333333,0.4976
0.0,0.2,1.0,4,0.5678,0.09726666666666667
0.2,0.2,1.0,4,0.5558,0.1342
0.4,0.2,1.0,4,0.5342,0.2262
0.6,0.2,1.0,4,0.524,0.33973333333333333
0.8,0.2,1.0,4,0.5526666666666666,0.44306666666666666
1.0,0.2,1.0,4,0.5722,0.5066666666666667
0.0,0.4,1.0,4,0.5509333333333334,0.13453333333333334
0.2,0.4,1.0,4,0.5455333333333333,0.1664
0.4,0.4,1.0,4,0.5291333333333333,0.25133333333333335
0.6,0.4,1.0,4,0.5344666666666666,0.36106666666666665
0.8,0.4,1.0,4,0.553,0.4508
1.0,0.4,1.0,4,0.5848,0.5134666666666666
0.0,0.6,1.0,4,0.5402666666666667,0.1976
0.2,0.6,1.0,4,0.5412666666666667,0.21886666666666665
0.4,0.6,1.0,4,0.5382,0.294
0.6,0.6,1.0,4,0.5438666666666667,0.37966666666666665
0.8,0.6,1.0,4,0.5652,0.4653333333333333
1.0,0.6,1.0,4,0.5913333333333334,0.5234666666666666
0.0,0.8,1.0,4,0.5418666666666667,0.2541333333333333
0.2,0.8,1.0,4,0.5394,0.28
0.4,0.8,1.0,4,0.5474666666666667,0.3402
0.6,0.8,1.0,4,0.5535333333333333,0.4182
0.8,0.8,1.0,4,0.5708,0.4842
1.0,0.8,1.0,4,0.5994,0.5322666666666667
0.0,1.0,1.0,4,0.557,0.3218666666666667
0.2,1.0,1.0,4,0.5552,0.32913333333333333
0.4,1.0,1.0,4,0.5619333333333333,0.38033333333333336
0.6,1.0,1.0,4,0.5798666666666666,0.44466666666666665
0.8,1.0,1.0,4,0.5855333333333334,0.5072
1.0,1.0,1.0,4,0.608,0.5485333333333333
0.0,0.0,1.5,4,0.6504666666666666,0.09146666666666667
0.2,0.0,1.5,4,0.6234666666666666,0.1478
0.4,0.0,1.5,4,0.581,0.28246666666666664
0.6,0.0,1.5,4,0.5676666666666667,0.39493333333333336
0.8,0.0,1.5,4,0.573,0.46586666666666665
1.0,0.0,1.5,4,0.5985333333333334,0.5131333333333333
0.0,0.2,1.5,4,0.6359333333333334,0.10513333333333333
0.2,0.2,1.5,4,0.6165333333333334,0.16173333333333334
0.4,0.2,1.5,4,0.5824666666666667,0.2876666666666667
0.6,0.2,1.5,4,0.5676,0.40573333333333333
0.8,0.2,1.5,4,0.5796,0.47933333333333333
1.0,0.2,1.5,4,0.5997333333333333,0.5166
0.0,0.4,1.5,4,0.6231333333333333,0.13873333333333332
0.2,0.4,1.5,4,0.6012,0.19646666666666668
0.4,0.4,1.5,4,0.5804666666666667,0.3192
0.6,0.4,1.5,4,0.5672666666666667,0.4254
0.8,0.4,1.5,4,0.5876666666666667,0.48973333333333335
1.0,0.4,1.5,4,0.6028666666666667,0.5254
0.0,0.6,1.5,4,0.6004,0.2002
0.2,0.6,1.5,4,0.5914,0.2472
0.4,0.6,1.5,4,0.5846,0.35406666666666664
0.6,0.6,1.5,4,0.586,0.43373333333333336
0.8,0.6,1.5,4,0.6034666666666667,0.4975333333333333
1.0,0.6,1.5,4,0.6162,0.5446
